33.350625 7968242.870477 0.087435 0.087435
29.463184 7026132.061133 0.093026 0.093026
25.502500 6143273.503949 0.099980 0.099980
22.562500 5319667.198925 0.106316 0.106316
19.855936 4555313.146061 0.113362 0.113362
18.464209 3850211.345357 0.117676 0.117676
14.691889 3204361.796813 0.131856 0.131856
12.334144 2617764.500429 0.143950 0.143950
10.156969 2090419.456205 0.158684 0.158684
8.555625 1622326.664141 0.173064 0.173064
6.728836 1213486.124237 0.195269 0.195269
5.363856 863897.836493 0.219044 0.219044
4.435236 599929.053120 0.241541 0.241541


